R12,1,M55342K06B10E0R,RM0705K-10.0K-1%
R13,1,M55342K06B10E0R,RM0705K-10.0K-1%
R19,1,M55342K06B10E0R,RM0705K-10.0K-1%
R23,1,M55342K06B10E0R,RM0705K-10.0K-1%
R21,2,M55342K06B13E3R,RM0705K-13.3K-1%
R29,2,M55342K06B13E3R,RM0705K-13.3K-1%
R27,3,M55342K06B1E58R,RM0705K-1.58K-1%
R18,4,M55342K06B20E0R,RM0705K-20.0K-1%
---,---,---,---
R14,1,M55342K06B30E1R,RM0705K-30.1K-1%
R17,1,M55342K06B30E1R,RM0705K-30.1K-1%
R24,2,M55342K06B49E9R,RM0705K-49.9K-1%
R31,2,M55342K06B49E9R,RM0705K-49.9K-1%
R30,3,M55342K06B4E99R,RM0705K-4.99K-1%
R33,3,M55342K06B4E99R,RM0705K-4.99K-1%
R77,4,M55342K06B5E11R,RM0705K-5.11K-1%
---,---,---,---
R15,1,M55342K06B9E09R,RM0705K-9.09K-1%
R16,1,M55342K06B9E09R,RM0705K-9.09K-1%
R36,1,M55342K06B9E09R,RM0705K-9.09K-1%
C4,2,CDR04BX563BKSS,CDR34BX-0.056U-100V-10%
C17,2,CDR04BX563BKSS,CDR34BX-0.056U-100V-10%
C50,2,CDR04BX563BKSS,CDR34BX-0.056U-100V-10%
C56,2,CDR04BX563BKSS,CDR34BX-0.056U-100V-10%
C58,2,CDR04BX563BKSS,CDR34BX-0.056U-100V-10%
C8,3,CDR31BX102BKUS,CDR31BX-1000P-100V-10%
C13,3,CDR31BX102BKUS,CDR31BX-1000P-100V-10%
C15,3,CDR31BX102BKUS,CDR31BX-1000P-100V-10%
C7,4,CDR32BX103BKUS,CDR32BX-0.010U-100V-10%
---,---,---,---
C14,1,T520X337M010AHE010,T541X-330U-10V-20%
C21,1,T520X337M010AHE010,T541X-330U-10V-20%
C22,1,T520X337M010AHE010,T541X-330U-10V-20%
C67,2,T521X337M016AHE025,T541X-330U-16V-20%
C68,2,T521X337M016AHE025,T541X-330U-16V-20%
C9,3,T521X476M035AHE030,T541X-47U-35V-20%
C23,3,T521X476M035AHE030,T541X-47U-35V-20%
C11,4,T543X336M050AHE040,T541X-33U-50V-20%
C12,4,T543X336M050AHE040,T541X-33U-50V-20%
---,---,---,---
C16,1,TAZE155K035CBSZ0000,CWR09E-1.5U-35V-10%
D2,2,1N6642US,1N6642US-SMD
D3,2,1N6642US,1N6642US-SMD
D6,2,1N6642US,1N6642US-SMD
D4,3,JANTX1N6622US,1N6622US-SMD
Q4,4,JAN2N2222AUB,2N2222AUB-CERSOT-23
Q5,4,JAN2N2222AUB,2N2222AUB-CERSOT-23
Q6,4,JAN2N2222AUB,2N2222AUB-CERSOT-23
Q16,4,JAN2N2222AUB,2N2222AUB-CERSOT-23
---,---,---,---
Q9,1,JAN2N2907AUB,2N2907AUB-CERSOT-23
U1,2,HS9-139RH/PROTO,HS-139-CDFP3-F14
U5,3,ISL7124SRHF/PROTO,ISL7124-CDFP3-F14
