-----------
-----------

========================================================================================================================
File Design Information:

Date:       -----------
Time:       -----------
Revision:   -----------
Variant:    -----------
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"TP2","TP26","TopLayer","TP26","2305.000","1900.000","90","Test Point, On-Board, 26AWG"
"R97","RWR80S","TopLayer","RWR80","3262.500","650.000","360","RWR80S, Value, Tolerance"
"R58","RM0705K","BottomLayer","RM0705","1350.000","2327.000","90","RM0705K, VALUE, 1%"
"R57","RM0705K","BottomLayer","RM0705","1425.000","2327.000","270","RM0705K, VALUE, 1%"
"Q9","2N2907AUB","TopLayer","CERSOT-23","1481.500","2319.750","90","2N2907AUB, CERSOT-23"
"D3","1N6642US","TopLayer","1N6642US","1350.000","2277.000","90","1N6642US, SMD"
"D2","1N6642US","TopLayer","1N6642US","2400.000","4502.000","270","1N6642US, SMD"
"R96","RM0705K","BottomLayer","RM0705","550.000","852.000","270","RM0705K, Value, Tolerance"
"Q16","2N2222AUB","TopLayer","CERSOT-23","603.500","859.250","270","2N2222AUB, CERSOT-23"
"TP38","TP26","TopLayer","TP26","2700.000","614.500","90","Test Point, On-Board, 26AWG"
"Q14","2N2222AUB","BottomLayer","CERSOT-23","1594.750","1218.000","180","2N2222AUB, CERSOT-23"
"C56","CDR34BX","TopLayer","CDR34","2837.500","1364.500","270","CDR34BX, Value, Voltage, Tolerance"
"C58","CDR34BX","TopLayer","CDR34","3062.500","1364.500","90","CDR34BX, Value, Voltage, Tolerance"
"C52","CDR34BX","BottomLayer","CDR34","2100.000","2252.000","360","CDR34BX, Value, Voltage, Tolerance"
"D17","1N7068","TopLayer","AXIAL-500mil","2625.000","3014.500","270","1N7068, AXIAL-500mil"
"C28","CDR34BX","BottomLayer","CDR34","2912.500","4302.000","360","CDR34BX, Value, Voltage, Tolerance"
"U9","HCPL-550K","TopLayer","CDIP2-T8","2162.500","2239.500","90","HCPL-550K, CDIP2-T8"
"U8","HCPL-573K","TopLayer","CDIP2-T8","1075.000","877.000","90","HCPL-573K, CDIP2-T8"
"R94","RM0705K","BottomLayer","RM0705","1312.500","2850.000","360","RM0705K, Value, Tolerance"
"R93","RM0705K","BottomLayer","RM0705","2762.500","1127.000","180","RM0705K, Value, Tolerance"
"R92","RM0705K","BottomLayer","RM0705","3262.500","1127.000","180","RM0705K, Value, Tolerance"
"R91","RWR81S","TopLayer","RWR81","3762.500","4202.000","270","RWR81S, Value, Tolerance"
"R90","RM0705K","BottomLayer","RM0705","1925.000","2352.000","270","RM0705K, Value, Tolerance"
"R89","RM0705K","BottomLayer","RM0705","1687.500","2627.000","270","RM0705K, Value, Tolerance"
"D16","1N7068","TopLayer","AXIAL-500mil","2775.000","2827.000","270","1N7068, AXIAL-500mil"
"D14","1N4106UR-1","BottomLayer","DO-213AA","737.500","877.000","270","1N4106UR-1, DO-213AA"
"C69","CWR09E","BottomLayer","CWR09E","2662.500","1552.000","90","CWR09E, Value, Voltage, Tolerance"
"C68","T541X","TopLayer","T541X","2787.500","2277.000","270","T541X, Value, Voltage, Tolerance"
"C67","T541X","TopLayer","T541X","2787.500","1864.500","270","T541X, Value, Voltage, Tolerance"
"C66","M49470-N4","TopLayer","M49470-N4TPL","3262.500","977.000","180","M49470-N4, Value, Voltage, Tolerance"
"C65","CDR34BX","BottomLayer","CDR34","2162.500","4202.000","270","CDR34BX, Value, Voltage, Tolerance"
"C64","CDR34BX","BottomLayer","CDR34","3262.500","977.000","360","CDR34BX, Value, Voltage, Tolerance"
"C63","CDR34BX","BottomLayer","CDR34","2762.500","977.000","360","CDR34BX, Value, Voltage, Tolerance"
"C62","CDR34BX","BottomLayer","CDR34","3262.500","777.000","180","CDR34BX, Value, Voltage, Tolerance"
"C61","CDR34BX","BottomLayer","CDR34","2787.500","1877.000","270","CDR34BX, Value, Voltage, Tolerance"
"TP25","TP26","TopLayer","TP26","400.000","1339.500","90","Test Point, On-Board, 26AWG"
"R86","RM0705K","BottomLayer","RM0705","1862.500","439.500","180","RM0705K, Value, Tolerance"
"R79","RM0705K","BottomLayer","RM0705","2087.500","1814.500","270","RM0705K, Value, Tolerance"
"R76","RM0705K","BottomLayer","RM0705","975.000","814.500","360","RM0705K, Value, Tolerance"
"R69","RM0705K","BottomLayer","RM0705","1350.000","1454.500","270","RM0705K, Value, Tolerance"
"R67","RM0705K","BottomLayer","RM0705","1100.000","1527.000","90","RM0705K, Value, Tolerance"
"R65","RM0705K","BottomLayer","RM0705","1362.500","1652.000","270","RM0705K, Value, Tolerance"
"R64","RM0705K","BottomLayer","RM0705","512.500","1652.000","90","RM0705K, Value, Tolerance"
"R47","RNC50H","TopLayer","RNC50","1912.500","389.500","270","RNC50H, Value, Tolerance"
"R16","RM0705K","TopLayer","RM0705","1137.500","2139.500","0","RM0705K, Value, Tolerance"
"C37","CWR09E","BottomLayer","CWR09E","1087.500","2752.000","90","CWR09E, Value, Voltage, Tolerance"
"C32","CDR31BX","BottomLayer","CDR31","2032.500","3147.000","180","CDR31BX, Value, Voltage, Tolerance"
"C55","CDR34BX","BottomLayer","CDR34","2550.000","1877.000","90","CDR34BX, Value, Voltage, Tolerance"
"C17","CDR34BX","TopLayer","CDR34","1025.000","589.500","360","CDR34BX, Value, Voltage, Tolerance"
"C41","CDR34BX","BottomLayer","CDR34","3000.000","2064.500","270","CDR34BX, Value, Voltage, Tolerance"
